lang,mic,isin,name,symbol,nominal_ammount,nominal_currency_id_formatted,maturity_date,maturity_date_formatted,interest_rate_percentage,last_price,last_trade_time,last_trade_time_formatted,last_trade_time_to_local_formatted,weight_percentage,quantity,change_prev_close_percentage,free_float_factor,weighting_factor,free_float_market_cap,download_date
hr,0,HRZABARA0009,Zagrebacka banka d.d.,ZABA,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"24,70",2025-10-28T16:21:45+01:00,16:21:45,28.10.2025. 15:21:45,"8,16&nbsp;%","320.241.955,00","+1,65&nbsp;%","0,04","1,00000000","316.399.051,54",2025-10-28
hr,0,HRZTOSRB0002,ZITO d.d.,ZITO,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"19,65",2025-10-28T16:52:13+01:00,16:52:13,28.10.2025. 15:52:13,"3,89&nbsp;%","25.607.675,00","0,00&nbsp;%","0,30","1,00000000","150.957.244,13",2025-10-28
hr,0,HRADPLRA0006,AD PLASTIK d.d.,ADPL,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"19,35",2025-10-29T16:43:29+01:00,16:43:29,29.10.2025. 15:43:29,"1,47&nbsp;%","4.199.584,00","+3,48&nbsp;%","0,70","1,00000000","56.883.365,28",2025-10-29
hr,0,HRADRSPA0009,ADRIS GRUPA d.d.,ADRS2,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"79,80",2025-10-29T15:44:17+01:00,15:44:17,29.10.2025. 14:44:17,"9,80&nbsp;%","6.784.100,00","+0,50&nbsp;%","0,95","0,73725141","379.170.332,50",2025-10-29
hr,0,HRARNTRA0004,Arena Hospitality Group d.d.,ARNT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"38,20",2025-10-28T15:50:09+01:00,28.10.2025. 15:50:09,28.10.2025. 14:50:09,"1,77&nbsp;%","5.128.721,00",-,"0,35","1,00000000","68.570.999,77",2025-10-29
hr,0,HRATGRRA0003,ATLANTIC GRUPA d.d.,ATGR,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"42,00",2025-10-29T14:10:02+01:00,14:10:02,29.10.2025. 13:10:02,"6,51&nbsp;%","13.337.200,00","0,00&nbsp;%","0,45","1,00000000","252.073.080,00",2025-10-29
hr,0,HRDDJHRA0007,DURO DAKOVIC GRUPA d.d.,DDJH,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"63,50",2025-10-29T14:52:36+01:00,14:52:36,29.10.2025. 13:52:36,"0,08&nbsp;%","101.532,00","+12,39&nbsp;%","0,50","1,00000000","3.223.641,00",2025-10-29
hr,0,HRDLKVRA0006,Dalekovod d.d.,DLKV,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"8,52",2025-10-29T16:21:16+01:00,16:21:16,29.10.2025. 15:21:16,"2,27&nbsp;%","41.247.193,00","-2,74&nbsp;%","0,25","1,00000000","87.856.521,09",2025-10-29
hr,0,HRERNTRA0000,ERICSSON NIKOLA TESLA d.d.,ERNT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"186,00",2025-10-29T16:19:26+01:00,16:19:26,29.10.2025. 15:19:26,"3,52&nbsp;%","1.331.650,00","-1,33&nbsp;%","0,55","1,00000000","136.227.795,00",2025-10-29
hr,0,HRHPB0RA0002,HPB d.d.,HPB,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"310,00",2025-10-29T16:26:16+01:00,16:26:16,29.10.2025. 15:26:16,"4,87&nbsp;%","2.024.625,00","+1,31&nbsp;%","0,30","1,00000000","188.290.125,00",2025-10-29
hr,0,HRHT00RA0005,HT d.d.,HT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"42,20",2025-10-29T15:39:54+01:00,15:39:54,29.10.2025. 14:39:54,"10,14&nbsp;%","78.000.000,00","+0,48&nbsp;%","0,40","0,29796245","392.309.280,17",2025-10-29
hr,0,HRIG00RA0009,ING-GRAD d.d.,IG,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"58,40",2025-10-29T16:37:35+01:00,16:37:35,29.10.2025. 15:37:35,"2,11&nbsp;%","3.990.000,00","-0,34&nbsp;%","0,35","1,00000000","81.555.600,00",2025-10-29
hr,0,HRINGRRA0001,INGRA d.d.,INGR,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"2,06",2025-10-29T11:34:10+01:00,11:34:10,29.10.2025. 10:34:10,"0,61&nbsp;%","13.545.200,00","0,00&nbsp;%","0,85","1,00000000","23.717.645,20",2025-10-29
hr,0,HRKODTRA0007,KONCAR - DISTRIBUTIVNI I SPECIJALNI TRANSFORMATORI d.d.,KODT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"3.500,00",2025-10-29T16:50:45+01:00,16:50:45,29.10.2025. 15:50:45,"9,04&nbsp;%","388.376,00","+0,57&nbsp;%","0,35","0,73541980","349.883.765,30",2025-10-29
hr,0,HRKOEIRA0009,KONCAR d.d.,KOEI,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"660,00",2025-10-29T17:00:01+01:00,17:00:01,29.10.2025. 16:00:01,"9,22&nbsp;%","2.572.119,00","-4,35&nbsp;%","1,00","0,21015776","356.763.506,55",2025-10-29
hr,0,HRPLAGRA0003,PLAVA LAGUNA d.d.,PLAG,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"330,00",2025-10-29T10:59:11+01:00,10:59:11,29.10.2025. 09:59:11,"3,00&nbsp;%","2.197.772,00","-1,20&nbsp;%","0,16","1,00000000","116.042.361,60",2025-10-29
hr,0,HRPODRRA0004,PODRAVKA d.d.,PODR,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"166,00",2025-10-29T15:53:16+01:00,15:53:16,29.10.2025. 14:53:16,"10,93&nbsp;%","7.120.003,00","-0,30&nbsp;%","0,80","0,44747561","423.104.476,65",2025-10-29
hr,0,HRRIVPRA0000,Valamar Riviera d.d.,RIVP,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"6,26",2025-10-29T16:27:49+01:00,16:27:49,29.10.2025. 15:27:49,"10,01&nbsp;%","126.027.542,00","0,00&nbsp;%","0,55","0,89268438","387.347.203,04",2025-10-29
hr,0,HRSPANRA0007,SPAN d.d.,SPAN,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"64,00",2025-10-29T14:00:00+01:00,14:00:00,29.10.2025. 13:00:00,"2,27&nbsp;%","1.960.000,00","+1,27&nbsp;%","0,70","1,00000000","87.808.000,00",2025-10-29
hr,0,HRVLENRB0001,BRODOGRADILISTE VIKTOR LENAC d.d.,VLEN,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"4,36",2025-10-29T10:46:19+01:00,10:46:19,29.10.2025. 09:46:19,"0,27&nbsp;%","16.813.247,00","+6,34&nbsp;%","0,14","1,00000000","10.262.805,97",2025-10-29
hr,0,HRZABARA0009,Zagrebacka banka d.d.,ZABA,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"24,70",2025-10-29T15:55:38+01:00,15:55:38,29.10.2025. 14:55:38,"8,18&nbsp;%","320.241.955,00","0,00&nbsp;%","0,04","1,00000000","316.399.051,54",2025-10-29
hr,0,HRZTOSRB0002,ZITO d.d.,ZITO,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"19,80",2025-10-29T15:47:45+01:00,15:47:45,29.10.2025. 14:47:45,"3,93&nbsp;%","25.607.675,00","+0,76&nbsp;%","0,30","1,00000000","152.109.589,50",2025-10-29
hr,0,HRADPLRA0006,AD PLASTIK d.d.,ADPL,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"19,60",2025-10-30T16:27:00+01:00,16:27:00,30.10.2025. 15:27:00,"1,49&nbsp;%","4.199.584,00","+1,29&nbsp;%","0,70","1,00000000","57.618.292,48",2025-10-30
hr,0,HRADRSPA0009,ADRIS GRUPA d.d.,ADRS2,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"79,80",2025-10-30T12:04:58+01:00,12:04:58,30.10.2025. 11:04:58,"9,82&nbsp;%","6.784.100,00","0,00&nbsp;%","0,95","0,73725141","379.170.332,50",2025-10-30
hr,0,HRARNTRA0004,Arena Hospitality Group d.d.,ARNT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"38,40",2025-10-30T16:38:42+01:00,16:38:42,30.10.2025. 15:38:42,"1,78&nbsp;%","5.128.721,00","+0,52&nbsp;%","0,35","1,00000000","68.930.010,24",2025-10-30
hr,0,HRATGRRA0003,ATLANTIC GRUPA d.d.,ATGR,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"42,00",2025-10-29T14:10:02+01:00,29.10.2025. 14:10:02,29.10.2025. 13:10:02,"6,53&nbsp;%","13.337.200,00",-,"0,45","1,00000000","252.073.080,00",2025-10-30
hr,0,HRDDJHRA0007,DURO DAKOVIC GRUPA d.d.,DDJH,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"64,00",2025-10-30T12:11:57+01:00,12:11:57,30.10.2025. 11:11:57,"0,08&nbsp;%","101.532,00","+0,79&nbsp;%","0,50","1,00000000","3.249.024,00",2025-10-30
hr,0,HRDLKVRA0006,Dalekovod d.d.,DLKV,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"8,60",2025-10-30T16:46:39+01:00,16:46:39,30.10.2025. 15:46:39,"2,30&nbsp;%","41.247.193,00","+0,94&nbsp;%","0,25","1,00000000","88.681.464,95",2025-10-30
hr,0,HRERNTRA0000,ERICSSON NIKOLA TESLA d.d.,ERNT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"188,00",2025-10-30T15:52:55+01:00,15:52:55,30.10.2025. 14:52:55,"3,56&nbsp;%","1.331.650,00","+1,08&nbsp;%","0,55","1,00000000","137.692.610,00",2025-10-30
hr,0,HRHPB0RA0002,HPB d.d.,HPB,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"304,00",2025-10-30T15:45:18+01:00,15:45:18,30.10.2025. 14:45:18,"4,78&nbsp;%","2.024.625,00","-1,94&nbsp;%","0,30","1,00000000","184.645.800,00",2025-10-30
hr,0,HRHT00RA0005,HT d.d.,HT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"42,00",2025-10-30T16:41:31+01:00,16:41:31,30.10.2025. 15:41:31,"10,11&nbsp;%","78.000.000,00","-0,47&nbsp;%","0,40","0,29796245","390.449.994,48",2025-10-30
hr,0,HRIG00RA0009,ING-GRAD d.d.,IG,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"60,20",2025-10-30T17:00:03+01:00,17:00:03,30.10.2025. 16:00:03,"2,18&nbsp;%","3.990.000,00","+3,08&nbsp;%","0,35","1,00000000","84.069.300,00",2025-10-30
hr,0,HRINGRRA0001,INGRA d.d.,INGR,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"2,12",2025-10-30T16:44:19+01:00,16:44:19,30.10.2025. 15:44:19,"0,63&nbsp;%","13.545.200,00","+2,91&nbsp;%","0,85","1,00000000","24.408.450,40",2025-10-30
hr,0,HRKODTRA0007,KONCAR - DISTRIBUTIVNI I SPECIJALNI TRANSFORMATORI d.d.,KODT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"3.550,00",2025-10-30T16:38:52+01:00,16:38:52,30.10.2025. 15:38:52,"9,19&nbsp;%","388.376,00","+1,43&nbsp;%","0,35","0,73541980","354.882.104,80",2025-10-30
hr,0,HRKOEIRA0009,KONCAR d.d.,KOEI,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"672,00",2025-10-30T16:48:49+01:00,16:48:49,30.10.2025. 15:48:49,"9,40&nbsp;%","2.572.119,00","+1,82&nbsp;%","1,00","0,21015776","363.250.115,76",2025-10-30
hr,0,HRPLAGRA0003,PLAVA LAGUNA d.d.,PLAG,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"330,00",2025-10-29T10:59:11+01:00,29.10.2025. 10:59:11,29.10.2025. 09:59:11,"3,00&nbsp;%","2.197.772,00",-,"0,16","1,00000000","116.042.361,60",2025-10-30
hr,0,HRPODRRA0004,PODRAVKA d.d.,PODR,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"158,00",2025-10-30T16:40:13+01:00,16:40:13,30.10.2025. 15:40:13,"10,43&nbsp;%","7.120.003,00","-4,82&nbsp;%","0,80","0,44747561","402.713.899,46",2025-10-30
hr,0,HRRIVPRA0000,Valamar Riviera d.d.,RIVP,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"6,28",2025-10-30T16:31:23+01:00,16:31:23,30.10.2025. 15:31:23,"10,06&nbsp;%","126.027.542,00","+0,32&nbsp;%","0,55","0,89268438","388.584.734,04",2025-10-30
hr,0,HRSPANRA0007,SPAN d.d.,SPAN,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"64,60",2025-10-30T16:24:16+01:00,16:24:16,30.10.2025. 15:24:16,"2,29&nbsp;%","1.960.000,00","+0,94&nbsp;%","0,70","1,00000000","88.631.200,00",2025-10-30
hr,0,HRVLENRB0001,BRODOGRADILISTE VIKTOR LENAC d.d.,VLEN,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"4,36",2025-10-29T10:46:19+01:00,29.10.2025. 10:46:19,29.10.2025. 09:46:19,"0,27&nbsp;%","16.813.247,00",-,"0,14","1,00000000","10.262.805,97",2025-10-30
hr,0,HRZABARA0009,Zagrebacka banka d.d.,ZABA,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"24,50",2025-10-30T15:56:37+01:00,15:56:37,30.10.2025. 14:56:37,"8,12&nbsp;%","320.241.955,00","-0,81&nbsp;%","0,04","1,00000000","313.837.115,90",2025-10-30
hr,0,HRZTOSRB0002,ZITO d.d.,ZITO,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"20,00",2025-10-30T15:37:00+01:00,15:37:00,30.10.2025. 14:37:00,"3,98&nbsp;%","25.607.675,00","+1,01&nbsp;%","0,30","1,00000000","153.646.050,00",2025-10-30
hr,0,HRADPLRA0006,AD PLASTIK d.d.,ADPL,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"20,60",2025-10-31T17:00:05+01:00,17:00:05,31.10.2025. 16:00:05,"1,56&nbsp;%","4.199.584,00","+5,10&nbsp;%","0,70","1,00000000","60.558.001,28",2025-10-31
hr,0,HRADRSPA0009,ADRIS GRUPA d.d.,ADRS2,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"79,80",2025-10-31T12:48:47+01:00,12:48:47,31.10.2025. 11:48:47,"9,80&nbsp;%","6.784.100,00","0,00&nbsp;%","0,95","0,73725141","379.170.332,50",2025-10-31
hr,0,HRARNTRA0004,Arena Hospitality Group d.d.,ARNT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"38,00",2025-10-31T15:03:07+01:00,15:03:07,31.10.2025. 14:03:07,"1,76&nbsp;%","5.128.721,00","-1,04&nbsp;%","0,35","1,00000000","68.211.989,30",2025-10-31
hr,0,HRATGRRA0003,ATLANTIC GRUPA d.d.,ATGR,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"41,80",2025-10-31T15:07:57+01:00,15:07:57,31.10.2025. 14:07:57,"6,48&nbsp;%","13.337.200,00","-0,48&nbsp;%","0,45","1,00000000","250.872.732,00",2025-10-31
hr,0,HRDDJHRA0007,DURO DAKOVIC GRUPA d.d.,DDJH,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"63,00",2025-10-31T12:52:31+01:00,12:52:31,31.10.2025. 11:52:31,"0,08&nbsp;%","101.532,00","-1,56&nbsp;%","0,50","1,00000000","3.198.258,00",2025-10-31
hr,0,HRDLKVRA0006,Dalekovod d.d.,DLKV,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"8,80",2025-10-31T17:00:01+01:00,17:00:01,31.10.2025. 16:00:01,"2,34&nbsp;%","41.247.193,00","+2,33&nbsp;%","0,25","1,00000000","90.743.824,60",2025-10-31
hr,0,HRERNTRA0000,ERICSSON NIKOLA TESLA d.d.,ERNT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"190,00",2025-10-31T15:30:16+01:00,15:30:16,31.10.2025. 14:30:16,"3,60&nbsp;%","1.331.650,00","+1,06&nbsp;%","0,55","1,00000000","139.157.425,00",2025-10-31
hr,0,HRHPB0RA0002,HPB d.d.,HPB,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"310,00",2025-10-31T16:53:39+01:00,16:53:39,31.10.2025. 15:53:39,"4,86&nbsp;%","2.024.625,00","+1,97&nbsp;%","0,30","1,00000000","188.290.125,00",2025-10-31
hr,0,HRHT00RA0005,HT d.d.,HT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"42,00",2025-10-31T16:33:45+01:00,16:33:45,31.10.2025. 15:33:45,"10,09&nbsp;%","78.000.000,00","0,00&nbsp;%","0,40","0,29796245","390.449.994,48",2025-10-31
hr,0,HRIG00RA0009,ING-GRAD d.d.,IG,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"58,80",2025-10-31T15:59:22+01:00,15:59:22,31.10.2025. 14:59:22,"2,12&nbsp;%","3.990.000,00","-2,33&nbsp;%","0,35","1,00000000","82.114.200,00",2025-10-31
hr,0,HRINGRRA0001,INGRA d.d.,INGR,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"2,10",2025-10-31T17:00:13+01:00,17:00:13,31.10.2025. 16:00:13,"0,62&nbsp;%","13.545.200,00","-0,94&nbsp;%","0,85","1,00000000","24.178.182,00",2025-10-31
hr,0,HRKODTRA0007,KONCAR - DISTRIBUTIVNI I SPECIJALNI TRANSFORMATORI d.d.,KODT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"3.550,00",2025-10-31T16:10:24+01:00,16:10:24,31.10.2025. 15:10:24,"9,17&nbsp;%","388.376,00","0,00&nbsp;%","0,35","0,73541980","354.882.104,80",2025-10-31
hr,0,HRKOEIRA0009,KONCAR d.d.,KOEI,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"678,00",2025-10-31T17:00:04+01:00,17:00:04,31.10.2025. 16:00:04,"9,47&nbsp;%","2.572.119,00","+0,89&nbsp;%","1,00","0,21015776","366.493.420,36",2025-10-31
hr,0,HRPLAGRA0003,PLAVA LAGUNA d.d.,PLAG,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"330,00",2025-10-29T10:59:11+01:00,29.10.2025. 10:59:11,29.10.2025. 09:59:11,"3,00&nbsp;%","2.197.772,00",-,"0,16","1,00000000","116.042.361,60",2025-10-31
hr,0,HRPODRRA0004,PODRAVKA d.d.,PODR,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"157,50",2025-10-31T17:00:09+01:00,17:00:09,31.10.2025. 16:00:09,"10,37&nbsp;%","7.120.003,00","-0,32&nbsp;%","0,80","0,44747561","401.439.488,39",2025-10-31
hr,0,HRRIVPRA0000,Valamar Riviera d.d.,RIVP,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"6,30",2025-10-31T16:31:02+01:00,16:31:02,31.10.2025. 15:31:02,"10,07&nbsp;%","126.027.542,00","+0,32&nbsp;%","0,55","0,89268438","389.822.265,04",2025-10-31
hr,0,HRSPANRA0007,SPAN d.d.,SPAN,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"67,20",2025-10-31T16:48:19+01:00,16:48:19,31.10.2025. 15:48:19,"2,38&nbsp;%","1.960.000,00","+4,02&nbsp;%","0,70","1,00000000","92.198.400,00",2025-10-31
hr,0,HRVLENRB0001,BRODOGRADILISTE VIKTOR LENAC d.d.,VLEN,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"3,88",2025-10-31T15:20:01+01:00,15:20:01,31.10.2025. 14:20:01,"0,24&nbsp;%","16.813.247,00","-11,01&nbsp;%","0,14","1,00000000","9.132.955,77",2025-10-31
hr,0,HRZABARA0009,Zagrebacka banka d.d.,ZABA,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"24,40",2025-10-31T16:23:50+01:00,16:23:50,31.10.2025. 15:23:50,"8,07&nbsp;%","320.241.955,00","-0,41&nbsp;%","0,04","1,00000000","312.556.148,08",2025-10-31
hr,0,HRZTOSRB0002,ZITO d.d.,ZITO,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"19,70",2025-10-31T16:42:05+01:00,16:42:05,31.10.2025. 15:42:05,"3,91&nbsp;%","25.607.675,00","-1,50&nbsp;%","0,30","1,00000000","151.341.359,25",2025-10-31
hr,0,HRADPLRA0006,AD PLASTIK d.d.,ADPL,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"20,60",2025-10-31T17:00:05+01:00,31.10.2025. 17:00:05,31.10.2025. 16:00:05,"1,56&nbsp;%","4.199.584,00","+5,10&nbsp;%","0,70","1,00000000","60.558.001,28",2025-11-01
hr,0,HRADRSPA0009,ADRIS GRUPA d.d.,ADRS2,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"79,80",2025-10-31T12:48:47+01:00,31.10.2025. 12:48:47,31.10.2025. 11:48:47,"9,80&nbsp;%","6.784.100,00","0,00&nbsp;%","0,95","0,73725141","379.170.332,50",2025-11-01
hr,0,HRARNTRA0004,Arena Hospitality Group d.d.,ARNT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"38,00",2025-10-31T15:03:07+01:00,31.10.2025. 15:03:07,31.10.2025. 14:03:07,"1,76&nbsp;%","5.128.721,00","-1,04&nbsp;%","0,35","1,00000000","68.211.989,30",2025-11-01
hr,0,HRATGRRA0003,ATLANTIC GRUPA d.d.,ATGR,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"41,80",2025-10-31T15:07:57+01:00,31.10.2025. 15:07:57,31.10.2025. 14:07:57,"6,48&nbsp;%","13.337.200,00","-0,48&nbsp;%","0,45","1,00000000","250.872.732,00",2025-11-01
hr,0,HRDDJHRA0007,DURO DAKOVIC GRUPA d.d.,DDJH,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"63,00",2025-10-31T12:52:31+01:00,31.10.2025. 12:52:31,31.10.2025. 11:52:31,"0,08&nbsp;%","101.532,00","-1,56&nbsp;%","0,50","1,00000000","3.198.258,00",2025-11-01
hr,0,HRDLKVRA0006,Dalekovod d.d.,DLKV,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"8,80",2025-10-31T17:00:01+01:00,31.10.2025. 17:00:01,31.10.2025. 16:00:01,"2,34&nbsp;%","41.247.193,00","+2,33&nbsp;%","0,25","1,00000000","90.743.824,60",2025-11-01
hr,0,HRERNTRA0000,ERICSSON NIKOLA TESLA d.d.,ERNT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"190,00",2025-10-31T15:30:16+01:00,31.10.2025. 15:30:16,31.10.2025. 14:30:16,"3,60&nbsp;%","1.331.650,00","+1,06&nbsp;%","0,55","1,00000000","139.157.425,00",2025-11-01
hr,0,HRHPB0RA0002,HPB d.d.,HPB,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"310,00",2025-10-31T16:53:39+01:00,31.10.2025. 16:53:39,31.10.2025. 15:53:39,"4,86&nbsp;%","2.024.625,00","+1,97&nbsp;%","0,30","1,00000000","188.290.125,00",2025-11-01
hr,0,HRHT00RA0005,HT d.d.,HT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"42,00",2025-10-31T16:33:45+01:00,31.10.2025. 16:33:45,31.10.2025. 15:33:45,"10,09&nbsp;%","78.000.000,00","0,00&nbsp;%","0,40","0,29796245","390.449.994,48",2025-11-01
hr,0,HRIG00RA0009,ING-GRAD d.d.,IG,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"58,80",2025-10-31T15:59:22+01:00,31.10.2025. 15:59:22,31.10.2025. 14:59:22,"2,12&nbsp;%","3.990.000,00","-2,33&nbsp;%","0,35","1,00000000","82.114.200,00",2025-11-01
hr,0,HRINGRRA0001,INGRA d.d.,INGR,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"2,10",2025-10-31T17:00:13+01:00,31.10.2025. 17:00:13,31.10.2025. 16:00:13,"0,62&nbsp;%","13.545.200,00","-0,94&nbsp;%","0,85","1,00000000","24.178.182,00",2025-11-01
hr,0,HRKODTRA0007,KONCAR - DISTRIBUTIVNI I SPECIJALNI TRANSFORMATORI d.d.,KODT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"3.550,00",2025-10-31T16:10:24+01:00,31.10.2025. 16:10:24,31.10.2025. 15:10:24,"9,17&nbsp;%","388.376,00","0,00&nbsp;%","0,35","0,73541980","354.882.104,80",2025-11-01
hr,0,HRKOEIRA0009,KONCAR d.d.,KOEI,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"678,00",2025-10-31T17:00:04+01:00,31.10.2025. 17:00:04,31.10.2025. 16:00:04,"9,47&nbsp;%","2.572.119,00","+0,89&nbsp;%","1,00","0,21015776","366.493.420,36",2025-11-01
hr,0,HRPLAGRA0003,PLAVA LAGUNA d.d.,PLAG,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"330,00",2025-10-29T10:59:11+01:00,29.10.2025. 10:59:11,29.10.2025. 09:59:11,"3,00&nbsp;%","2.197.772,00",-,"0,16","1,00000000","116.042.361,60",2025-11-01
hr,0,HRPODRRA0004,PODRAVKA d.d.,PODR,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"157,50",2025-10-31T17:00:09+01:00,31.10.2025. 17:00:09,31.10.2025. 16:00:09,"10,37&nbsp;%","7.120.003,00","-0,32&nbsp;%","0,80","0,44747561","401.439.488,39",2025-11-01
hr,0,HRRIVPRA0000,Valamar Riviera d.d.,RIVP,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"6,30",2025-10-31T16:31:02+01:00,31.10.2025. 16:31:02,31.10.2025. 15:31:02,"10,07&nbsp;%","126.027.542,00","+0,32&nbsp;%","0,55","0,89268438","389.822.265,04",2025-11-01
hr,0,HRSPANRA0007,SPAN d.d.,SPAN,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"67,20",2025-10-31T16:48:19+01:00,31.10.2025. 16:48:19,31.10.2025. 15:48:19,"2,38&nbsp;%","1.960.000,00","+4,02&nbsp;%","0,70","1,00000000","92.198.400,00",2025-11-01
hr,0,HRVLENRB0001,BRODOGRADILISTE VIKTOR LENAC d.d.,VLEN,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"3,88",2025-10-31T15:20:01+01:00,31.10.2025. 15:20:01,31.10.2025. 14:20:01,"0,24&nbsp;%","16.813.247,00","-11,01&nbsp;%","0,14","1,00000000","9.132.955,77",2025-11-01
hr,0,HRZABARA0009,Zagrebacka banka d.d.,ZABA,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"24,40",2025-10-31T16:23:50+01:00,31.10.2025. 16:23:50,31.10.2025. 15:23:50,"8,07&nbsp;%","320.241.955,00","-0,41&nbsp;%","0,04","1,00000000","312.556.148,08",2025-11-01
hr,0,HRZTOSRB0002,ZITO d.d.,ZITO,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"19,70",2025-10-31T16:42:05+01:00,31.10.2025. 16:42:05,31.10.2025. 15:42:05,"3,91&nbsp;%","25.607.675,00","-1,50&nbsp;%","0,30","1,00000000","151.341.359,25",2025-11-01
